,pXC50
7,6.647817482
8,7.522878745
20,7.15490196
22,6.795880017
34,6.584042249
53,9.397940009
54,5.52671028
55,5.437327223
56,5.312996316
57,5.955173531
58,5.355439201
62,6.839027369
70,4.522878745
87,6.397940009
88,7.795880017
96,7.21325974
97,7.21325974
108,7.307858206
109,8.597892817
111,6.356547324
112,6.301029996
122,6.823908741
123,6.22184875
127,5.494850022
176,7.522878745
186,7.235823868
200,5.795880017
201,6.351003971
202,7.308537459
205,5.943095149
206,5.876148359
218,6.667245831
221,6.43877459
222,6.43877459
223,4.201687257
256,2.743414912
257,2.003811131
258,1.432863166
259,3.268303528
260,2.718010332
261,3.406373176
262,3.457730603
289,3.543472118
290,3.352236734
291,3.05494355
292,4.090105743
293,3.227766335
297,2.997008917
332,3.907117476
333,4.091481261
334,3.108014943
370,3.656941617
385,2.808186963
425,2.216495788
427,3.492067026
446,2.691681394
447,3.196590654
448,2.434395026
451,3.798650645
474,3.192554659
475,2.812255325
476,2.795221985
477,2.793442543
485,3.892962866
486,3.925963126
489,3.388545188
493,0.246291206
494,3.798650645
496,2.855183525
529,3.138407969
530,3.321529391
531,4.17776652
532,3.394597976
533,3.071212316
534,4.077611929
535,4.147126689
536,2.925059281
537,3.079961241
538,3.5633732
539,3.761240324
546,7.047963131
550,7.524653035
553,7.83058978
585,8.806875402
600,6.51166433
604,7.698970004
606,7.081802493
619,4.45015968
620,4.518578659
